Device_Index,State_Index,Module_Path,Data_Type,Register_Name,Verilog_Type,Description
1,0+,jt10.u_jt12,module_instance,jt12_top,module,Instance of jt12_top
2,0,jt12_dout,packed_registers,dout,reg[8-1:0],Packed registers: dout
2,0+,jt12_top.u_dout,module_instance,jt12_dout,module,Instance of jt12_dout
3,0,jt12_mmr,packed_registers,"addr_a, astart_b","reg[16-1:0], reg[16-1:0]","Packed registers: addr_a, astart_b"
3,1,jt12_mmr,packed_registers,"aend_b, adeltan_b","reg[16-1:0], reg[16-1:0]","Packed registers: aend_b, adeltan_b"
3,2,jt12_mmr,packed_registers,"value_A, pcm, selected_register","reg[10-1:0], reg[9-1:0], reg[8-1:0]","Packed registers: value_A, pcm, selected_register"
3,3,jt12_mmr,packed_registers,"op_din, ch_din, value_B, aon_a","reg[8-1:0], reg[8-1:0], reg[8-1:0], reg[8-1:0]","Packed registers: op_din, ch_din, value_B, aon_a"
3,4,jt12_mmr,packed_registers,"lracl, aeg_b, up_opreg, flag_ctl","reg[8-1:0], reg[8-1:0], reg[7-1:0], reg[7-1:0]","Packed registers: lracl, aeg_b, up_opreg, flag_ctl"
3,5,jt12_mmr,packed_registers,"flag_mask, latch_fnum, atl_a, busy_cnt, up_chreg, block_ch3op2","reg[7-1:0], reg[6-1:0], reg[6-1:0], reg[5-1:0], reg[3-1:0], reg[3-1:0]","Packed registers: flag_mask, latch_fnum, atl_a, busy_cnt, up_chreg, block_ch3op2"
3,6,jt12_mmr,packed_registers,"block_ch3op3, block_ch3op1, up_ch, lfo_freq, up_addr, up_lracl, up_op, div_setting, alr_b, up_keyon, csm, effect, part, busy, lfo_en, clr_flag_B, fast_timers","reg[3-1:0], reg[3-1:0], reg[3-1:0], reg[3-1:0], reg[3-1:0], reg[3-1:0], reg[2-1:0], reg[2-1:0], reg[2-1:0], reg, reg, reg, reg, reg, reg, reg, reg","Packed registers: block_ch3op3, block_ch3op1, up_ch, lfo_freq, up_addr, up_lracl, up_op, div_setting, alr_b, up_keyon, csm, effect, part, busy, lfo_en, clr_flag_B, fast_timers"
3,7,jt12_mmr,packed_registers,"pcm_en, pcm_wr, up_start, up_end, up_aon, acmd_on_b, acmd_rep_b, acmd_rst_b, acmd_up_b, pg_stop, eg_stop, psg_wr_n","reg, reg, reg, reg, reg, reg, reg, reg, reg, reg, reg, reg","Packed registers: pcm_en, pcm_wr, up_start, up_end, up_aon, acmd_on_b, acmd_rep_b, acmd_rst_b, acmd_up_b, pg_stop, eg_stop, psg_wr_n"
3,0+,jt12_top.u_mmr,module_instance,jt12_mmr,module,Instance of jt12_mmr
4,0,jt12_div,packed_registers,"adpcm_cnt666, opn_cnt, ssg_cnt, adpcm_cnt111, adpcm_cnt55, div2, cen_int, cen_ssg_int, cen_adpcm_int, cen_adpcm3_int, cen_55_int, clk_en, clk_en_2, clk_en_ssg, clk_en_666, clk_en_111, clk_en_55","reg[5-1:0], reg[4-1:0], reg[3-1:0], reg[3-1:0], reg[3-1:0], reg[2-1:0], reg, reg, reg, reg, reg, reg, reg, reg, reg, reg, reg","Packed registers: adpcm_cnt666, opn_cnt, ssg_cnt, adpcm_cnt111, adpcm_cnt55, div2, cen_int, cen_ssg_int, cen_adpcm_int, cen_adpcm3_int, cen_55_int, clk_en, clk_en_2, clk_en_ssg, clk_en_666, clk_en_111, clk_en_55"
